task id resource start end time type
mDiffFit 774 1536 18314 18637 497 sdbcs 
mDiffFit 55 1536 17426 17938 507 sdbcs 
mDiffFit 694 1536 17421 17795 465 sdbcs 
mDiffFit 195 1536 18457 18757 417 sdbcs 
mDiffFit 805 1536 18247 18593 466 sdbcs 
mDiffFit 550 1536 19695 20010 466 sdbcs 
mDiffFit 122 1536 17352 17697 487 sdbcs 
mDiffFit 443 1536 17032 17489 456 sdbcs 
mDiffFit 795 1536 18316 18574 456 sdbcs 
mDiffFit 68 1536 17002 17481 427 sdbcs 
mDiffFit 732 1536 18521 19165 497 sdbcs 
mDiffFit 153 1536 18302 18637 446 sdbcs 
mDiffFit 447 1536 18300 18582 446 sdbcs 
mDiffFit 453 1536 17709 18045 456 sdbcs 
mDiffFit 193 1536 17809 18549 549 sdbcs 
mDiffFit 689 1536 18317 19011 528 sdbcs 
mDiffFit 512 1536 18184 18804 446 sdbcs 
mDiffFit 224 1536 17355 17912 497 sdbcs 
mDiffFit 705 1536 18166 18815 538 sdbcs 
mDiffFit 838 1536 18597 18898 487 sdbcs 
mDiffFit 849 1536 18664 19280 518 sdbcs 
mDiffFit 569 1536 18350 18657 476 sdbcs 
mDiffFit 373 1536 17949 18237 559 sdbcs 
mDiffFit 364 1536 16952 17604 497 sdbcs 
mDiffFit 846 1536 18685 18957 538 sdbcs 
mDiffFit 162 1536 18311 18574 487 sdbcs 
mDiffFit 842 1536 18607 18884 437 sdbcs 
mDiffFit 533 1536 18599 19317 456 sdbcs 
mDiffFit 120 1536 18288 18570 487 sdbcs 
mDiffFit 66 1536 17922 18573 402 sdbcs 
mDiffFit 541 1536 17854 18226 487 sdbcs 
mDiffFit 370 1536 17893 18252 497 sdbcs 
mDiffFit 868 1536 18658 18994 465 sdbcs 
mDiffFit 519 1536 18426 18824 476 sdbcs 
mDiffFit 430 1536 17680 18022 476 sdbcs 
mDiffFit 101 1536 17511 17819 456 sdbcs 
mDiffFit 129 1536 17677 18313 466 sdbcs 
mDiffFit 369 1536 17880 18554 466 sdbcs 
mDiffFit 152 1536 17901 18203 538 sdbcs 
mDiffFit 710 1536 18026 18347 427 sdbcs 
mDiffFit 772 1536 17703 17963 497 sdbcs 
mDiffFit 97 1536 16925 17315 487 sdbcs 
mDiffFit 526 1536 18351 18629 487 sdbcs 
mDiffFit 829 1536 17989 18771 560 sdbcs 
mDiffFit 473 1536 17634 18224 518 sdbcs 
mDiffFit 870 1536 18662 19141 466 sdbcs 
mDiffFit 807 1536 17007 17516 476 sdbcs 
mDiffFit 812 1536 17735 18056 476 sdbcs 
mDiffFit 748 1536 17497 17851 549 sdbcs 
mDiffFit 480 1536 17566 18129 437 sdbcs 
mDiffFit 80 1536 17083 17497 427 sdbcs 
mDiffFit 395 1536 19699 20405 497 sdbcs 
mDiffFit 520 1536 17509 17808 487 sdbcs 
mDiffFit 202 1536 17350 17832 476 sdbcs 
mDiffFit 556 1536 17949 18571 446 sdbcs 
mDiffFit 471 1536 18356 18642 497 sdbcs 
mDiffFit 532 1536 18595 19271 466 sdbcs 
mDiffFit 686 1536 18648 18955 497 sdbcs 
mDiffFit 474 1536 17595 17975 507 sdbcs 
mDiffFit 407 1536 18132 18723 497 sdbcs 
mDiffFit 542 1536 17855 18133 427 sdbcs 
mDiffFit 567 1536 17880 18653 437 sdbcs 
mDiffFit 877 1536 18601 19000 497 sdbcs 
mDiffFit 260 1536 17879 18294 446 sdbcs 
mDiffFit 426 1536 17675 18064 427 sdbcs 
mDiffFit 679 1536 17468 17813 559 sdbcs 
mDiffFit 844 1536 17926 18248 476 sdbcs 
mDiffFit 747 1536 18486 18757 408 sdbcs 
mDiffFit 741 1536 18256 18955 497 sdbcs 
mDiffFit 236 1536 17780 18128 518 sdbcs 
mDiffFit 261 1536 18457 19106 487 sdbcs 
mDiffFit 143 1536 18429 18714 507 sdbcs 
mDiffFit 553 1536 19713 19990 487 sdbcs 
mDiffFit 779 1536 16952 17778 507 sdbcs 
mDiffFit 246 1536 18544 18805 549 sdbcs 
mDiffFit 113 1536 17420 17802 476 sdbcs 
mDiffFit 183 1536 17431 17992 476 sdbcs 
mDiffFit 181 1536 17454 17830 476 sdbcs 
mDiffFit 864 1536 18454 18773 497 sdbcs 
mDiffFit 462 1536 18519 19022 466 sdbcs 
mDiffFit 51 1536 17905 18249 538 sdbcs 
mDiffFit 201 1536 18296 18994 456 sdbcs 
mDiffFit 735 1536 18570 18878 456 sdbcs 
mDiffFit 708 1536 17960 18657 456 sdbcs 
mDiffFit 855 1536 18546 19225 487 sdbcs 
mDiffFit 883 1536 18647 18986 466 sdbcs 
mDiffFit 790 1536 17859 18178 417 sdbcs 
mDiffFit 168 1536 16950 17713 456 sdbcs 
mDiffFit 751 1536 17801 18502 466 sdbcs 
mDiffFit 59 1536 16791 17173 476 sdbcs 
mDiffFit 572 1536 18530 19044 466 sdbcs 
mDiffFit 360 1536 16906 17454 497 sdbcs 
mDiffFit 819 1536 17940 18184 538 sdbcs 
mDiffFit 262 1536 17961 18291 476 sdbcs 
mDiffFit 551 1536 17769 18069 456 sdbcs 
mDiffFit 494 1536 17017 17463 518 sdbcs 
mDiffFit 76 1536 18651 18944 466 sdbcs 
mDiffFit 438 1536 18306 18621 466 sdbcs 
mDiffFit 718 1536 18259 18536 549 sdbcs 
mDiffFit 832 1536 18549 19153 487 sdbcs 
mDiffFit 416 1536 17411 17969 528 sdbcs 
mDiffFit 749 1536 18172 18560 456 sdbcs 
mDiffFit 529 1536 18343 18657 552 sdbcs 
mDiffFit 45 1536 17978 18330 497 sdbcs 
mDiffFit 384 1536 18022 18327 456 sdbcs 
mDiffFit 836 1536 18108 18746 518 sdbcs 
mDiffFit 186 1536 17367 17858 559 sdbcs 
mDiffFit 463 1536 18294 18562 408 sdbcs 
mDiffFit 71 1536 18449 18706 552 sdbcs 
mDiffFit 389 1536 18520 19217 417 sdbcs 
mDiffFit 86 1536 17116 17527 497 sdbcs 
mDiffFit 692 1536 18101 18449 538 sdbcs 
mDiffFit 757 1536 18007 18389 487 sdbcs 
mDiffFit 132 1536 17722 18721 476 sdbcs 
mDiffFit 209 1536 17292 17893 497 sdbcs 
mDiffFit 685 1536 18608 18974 427 sdbcs 
mDiffFit 208 1536 18532 18874 402 sdbcs 
mDiffFit 47 1536 17969 18246 538 sdbcs 
mDiffFit 366 1536 18419 18623 417 sdbcs 
mDiffFit 229 1536 17854 18576 427 sdbcs 
mDiffFit 84 1536 17114 17479 507 sdbcs 
mDiffFit 733 1536 18513 19189 497 sdbcs 
mDiffFit 867 1536 19328 19867 497 sdbcs 
mDiffFit 414 1536 17602 17985 538 sdbcs 
mDiffFit 138 1536 17875 18219 466 sdbcs 
mDiffFit 535 1536 18665 19044 456 sdbcs 
mDiffFit 508 1536 17507 17858 427 sdbcs 
mDiffFit 719 1536 18492 18775 518 sdbcs 
