task id resource start end time type
mDiffFit 160 1536 18309 18585 276 sdbcs 
mDiffFit 534 1536 18597 18875 278 sdbcs 
mDiffFit 802 1536 18176 18521 345 sdbcs 
mDiffFit 820 1536 18146 18437 291 sdbcs 
mDiffFit 398 1536 17610 17965 355 sdbcs 
mDiffFit 789 1536 18007 18295 288 sdbcs 
mDiffFit 841 1536 17976 18326 350 sdbcs 
mDiffFit 704 1536 18669 19144 475 sdbcs 
mDiffFit 504 1536 17667 18017 350 sdbcs 
mDiffFit 670 1536 18179 18475 296 sdbcs 
mDiffFit 756 1536 18122 18444 322 sdbcs 
mDiffFit 873 1536 19325 19592 267 sdbcs 
mDiffFit 112 1536 17807 18852 1045 sdbcs 
mDiffFit 488 1536 18351 18633 282 sdbcs 
mDiffFit 165 1536 17066 17467 401 sdbcs 
mDiffFit 427 1536 17767 18038 271 sdbcs 
mDiffFit 391 1536 17733 18234 501 sdbcs 
mDiffFit 79 1536 17514 17849 335 sdbcs 
mDiffFit 740 1536 18162 18472 310 sdbcs 
mDiffFit 405 1536 16828 17391 563 sdbcs 
mDiffFit 465 1536 17859 18143 284 sdbcs 
mDiffFit 880 1536 18157 18451 294 sdbcs 
mDiffFit 378 1536 18056 18349 293 sdbcs 
mDiffFit 383 1536 17951 18248 297 sdbcs 
mDiffFit 72 1536 17984 18347 363 sdbcs 
mDiffFit 85 1536 17514 18122 608 sdbcs 
mDiffFit 214 1536 17057 17451 394 sdbcs 
mDiffFit 243 1536 17855 18206 351 sdbcs 
mDiffFit 734 1536 18517 19133 616 sdbcs 
mDiffFit 853 1536 18159 18441 282 sdbcs 
mDiffFit 781 1536 18177 18843 666 sdbcs 
mDiffFit 75 1536 17159 17629 470 sdbcs 
mDiffFit 483 1536 18082 18727 645 sdbcs 
mDiffFit 245 1536 18481 18819 338 sdbcs 
mDiffFit 90 1536 17631 17929 298 sdbcs 
mDiffFit 791 1536 17859 18296 437 sdbcs 
mDiffFit 83 1536 17389 17889 500 sdbcs 
mDiffFit 773 1536 17616 17893 277 sdbcs 
mDiffFit 479 1536 17803 18407 604 sdbcs 
mDiffFit 429 1536 17786 18075 289 sdbcs 
mDiffFit 466 1536 17591 17977 386 sdbcs 
mDiffFit 785 1536 17875 18316 441 sdbcs 
mDiffFit 817 1536 18466 18911 445 sdbcs 
mDiffFit 387 1536 18010 19010 1000 sdbcs 
mDiffFit 559 1536 17576 17935 359 sdbcs 
mDiffFit 690 1536 17027 17451 424 sdbcs 
mDiffFit 669 1536 18508 19159 651 sdbcs 
mDiffFit 782 1536 18178 18444 266 sdbcs 
mDiffFit 250 1536 17903 18212 309 sdbcs 
mDiffFit 158 1536 18309 18652 343 sdbcs 
mDiffFit 755 1536 18478 18813 335 sdbcs 
mDiffFit 788 1536 18142 18440 298 sdbcs 
mDiffFit 456 1536 18656 18977 321 sdbcs 
mDiffFit 536 1536 18603 19225 622 sdbcs 
mDiffFit 419 1536 18665 18933 268 sdbcs 
mDiffFit 402 1536 17590 17967 377 sdbcs 
mDiffFit 765 1536 18195 18474 279 sdbcs 
mDiffFit 357 1536 17974 18326 352 sdbcs 
mDiffFit 545 1536 17940 18279 339 sdbcs 
mDiffFit 738 1536 18232 18608 376 sdbcs 
mDiffFit 381 1536 17954 18343 389 sdbcs 
mDiffFit 217 1536 17093 17586 493 sdbcs 
mDiffFit 454 1536 17632 18000 368 sdbcs 
mDiffFit 831 1536 18121 18451 330 sdbcs 
mDiffFit 46 1536 18002 18689 687 sdbcs 
mDiffFit 52 1536 17133 17626 493 sdbcs 
mDiffFit 213 1536 17889 18517 628 sdbcs 
mDiffFit 394 1536 18209 18845 636 sdbcs 
mDiffFit 776 1536 18485 19194 709 sdbcs 
mDiffFit 537 1536 18609 18912 303 sdbcs 
mDiffFit 549 1536 18513 19072 559 sdbcs 
mDiffFit 386 1536 18033 18355 322 sdbcs 
mDiffFit 64 1536 17819 18160 341 sdbcs 
mDiffFit 169 1536 17021 17451 430 sdbcs 
mDiffFit 121 1536 17715 18355 640 sdbcs 
mDiffFit 173 1536 17913 18594 681 sdbcs 
mDiffFit 211 1536 16798 17287 489 sdbcs 
mDiffFit 170 1536 17510 17818 308 sdbcs 
mDiffFit 220 1536 17885 18156 271 sdbcs 
mDiffFit 368 1536 17890 18163 273 sdbcs 
mDiffFit 810 1536 18247 18759 512 sdbcs 
mDiffFit 210 1536 17383 17831 448 sdbcs 
mDiffFit 99 1536 16855 17307 452 sdbcs 
mDiffFit 365 1536 17307 17898 591 sdbcs 
mDiffFit 475 1536 17651 17949 298 sdbcs 
mDiffFit 507 1536 17551 18265 714 sdbcs 
mDiffFit 166 1536 17325 17742 417 sdbcs 
mDiffFit 108 1536 18659 18955 296 sdbcs 
mDiffFit 204 1536 17482 17781 299 sdbcs 
mDiffFit 235 1536 17814 18096 282 sdbcs 
mDiffFit 555 1536 18437 18947 510 sdbcs 
mDiffFit 869 1536 18654 18903 249 sdbcs 
mDiffFit 65 1536 18315 18598 283 sdbcs 
mDiffFit 376 1536 17151 17624 473 sdbcs 
mDiffFit 50 1536 18522 18818 296 sdbcs 
mDiffFit 124 1536 18298 18620 322 sdbcs 
mDiffFit 410 1536 17420 17867 447 sdbcs 
mDiffFit 768 1536 18588 19317 729 sdbcs 
mDiffFit 540 1536 17930 18339 409 sdbcs 
mDiffFit 678 1536 18618 19232 614 sdbcs 
mDiffFit 244 1536 18534 18821 287 sdbcs 
mDiffFit 432 1536 17669 18680 1011 sdbcs 
mDiffFit 492 1536 16903 17406 503 sdbcs 
mDiffFit 77 1536 17759 18375 616 sdbcs 
mDiffFit 784 1536 17859 18178 319 sdbcs 
mDiffFit 827 1536 18589 18878 289 sdbcs 
mDiffFit 87 1536 17133 17550 417 sdbcs 
mDiffFit 54 1536 17024 17478 454 sdbcs 
mDiffFit 436 1536 17659 18306 647 sdbcs 
mDiffFit 182 1536 17486 17813 327 sdbcs 
mDiffFit 237 1536 18306 18878 572 sdbcs 
mDiffFit 115 1536 17801 18133 332 sdbcs 
mDiffFit 459 1536 17882 18867 985 sdbcs 
mDiffFit 102 1536 18450 18809 359 sdbcs 
mDiffFit 155 1536 18323 18607 284 sdbcs 
