task_id,task_count,all_tasks_count,task_type,min_size_in,max_size_in,avg_size_in,count_in,sum_in,min_size_out,max_size_out,avg_size_out,count_out,sum_out,exec_file_size
mDiffFit_178,423,619,1,277,4161600,3329335.4,5,16646677,261,261,261.0,1,261,746640
mBackground_87,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_257,423,619,1,277,4161600,3329335.4,5,16646677,262,262,262.0,1,262,746640
mDiffFit_89,423,619,1,277,4152960,3322423.4,5,16612117,265,265,265.0,1,265,746640
mDiffFit_44,423,619,1,277,4152960,3318967.4,5,16594837,263,263,263.0,1,263,746640
mDiffFit_66,423,619,1,277,4152960,3318967.4,5,16594837,267,267,267.0,1,267,746640
mDiffFit_79,423,619,1,277,4152960,3318967.4,5,16594837,262,262,262.0,1,262,746640
mDiffFit_234,423,619,1,277,4161600,3329335.4,5,16646677,268,268,268.0,1,268,746640
mDiffFit_144,423,619,1,277,4161600,3329335.4,5,16646677,262,262,262.0,1,262,746640
mDiffFit_272,423,619,1,277,4161600,3329335.4,5,16646677,262,262,262.0,1,262,746640
mProject_49,90,619,0,277,1472210,736243.5,2,1472487,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_239,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mDiffFit_306,423,619,1,277,4144320,3312055.4,5,16560277,264,264,264.0,1,264,746640
mProject_79,90,619,0,277,1474539,737408.0,2,1474816,4135680,4135680,4135680.0,2,8271360,5930728
mDiffFit_399,423,619,1,277,4144320,3312055.4,5,16560277,265,265,265.0,1,265,746640
mProject_63,90,619,0,277,1473388,736832.5,2,1473665,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_350,423,619,1,277,4144320,3315511.4,5,16577557,267,267,267.0,1,267,746640
mDiffFit_235,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mDiffFit_408,423,619,1,277,4144320,3315511.4,5,16577557,270,270,270.0,1,270,746640
mBackground_50,90,619,4,1706,4170240,2086824.0,4,8347296,4170240,4170240,4170240.0,2,8340480,5793368
mProject_57,90,619,0,277,1471780,736028.5,2,1472057,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_405,423,619,1,277,4144320,3312055.4,5,16560277,266,266,266.0,1,266,746640
mDiffFit_166,423,619,1,277,4170240,3332791.4,5,16663957,264,264,264.0,1,264,746640
mBackground_75,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_55,423,619,1,277,4144320,3315511.4,5,16577557,265,265,265.0,1,265,746640
mDiffFit_117,423,619,1,277,4152960,3322423.4,5,16612117,266,266,266.0,1,266,746640
mDiffFit_7,423,619,1,277,4152960,3318967.4,5,16594837,267,267,267.0,1,267,746640
mDiffFit_389,423,619,1,277,4152960,3318967.4,5,16594837,271,271,271.0,1,271,746640
