task id resource start end time type
mDiffFit 463 1536 19655 19929 428 sdbcs 
mDiffFit 197 1536 18596 18904 455 sdbcs 
mDiffFit 131 1536 18157 18498 477 sdbcs 
mDiffFit 699 1536 19448 19765 428 sdbcs 
mDiffFit 726 1536 19110 19386 442 sdbcs 
mDiffFit 714 1536 19560 19887 428 sdbcs 
mDiffFit 379 1536 18989 19296 491 sdbcs 
mDiffFit 717 1536 19517 19935 449 sdbcs 
mDiffFit 811 1536 19557 19865 477 sdbcs 
mDiffFit 92 1536 19308 19591 477 sdbcs 
mDiffFit 758 1536 19246 19924 498 sdbcs 
mDiffFit 242 1536 18899 19539 456 sdbcs 
mDiffFit 556 1536 18636 18886 477 sdbcs 
mDiffFit 724 1536 19542 19816 498 sdbcs 
mDiffFit 539 1536 19840 20171 435 sdbcs 
mDiffFit 250 1536 18223 18688 484 sdbcs 
mDiffFit 509 1536 19502 19828 470 sdbcs 
mDiffFit 573 1536 19073 19397 505 sdbcs 
mDiffFit 850 1536 19514 19912 491 sdbcs 
mDiffFit 827 1536 19523 19857 463 sdbcs 
mDiffFit 378 1536 17729 18083 462 sdbcs 
mDiffFit 418 1536 19377 19753 477 sdbcs 
mDiffFit 785 1536 18275 18673 470 sdbcs 
mDiffFit 693 1536 19636 19917 455 sdbcs 
mDiffFit 721 1536 19574 19884 484 sdbcs 
mDiffFit 192 1536 19726 20035 498 sdbcs 
mDiffFit 168 1536 17224 17951 540 sdbcs 
mDiffFit 884 1536 19777 20076 484 sdbcs 
mDiffFit 140 1536 18865 19181 449 sdbcs 
mDiffFit 561 1536 19192 19501 428 sdbcs 
mDiffFit 683 1536 19646 19993 498 sdbcs 
mDiffFit 417 1536 19207 19625 505 sdbcs 
mDiffFit 773 1536 17600 17847 428 sdbcs 
mDiffFit 126 1536 19459 20043 449 sdbcs 
mDiffFit 55 1536 16954 17308 455 sdbcs 
mDiffFit 162 1536 18280 18559 477 sdbcs 
mDiffFit 159 1536 19617 19910 505 sdbcs 
mDiffFit 188 1536 18698 19014 428 sdbcs 
mDiffFit 381 1536 17984 18381 470 sdbcs 
mDiffFit 435 1536 19280 19595 477 sdbcs 
mDiffFit 674 1536 19553 19853 442 sdbcs 
mDiffFit 415 1536 18859 19157 455 sdbcs 
mDiffFit 533 1536 19280 19983 512 sdbcs 
mDiffFit 401 1536 19109 19424 455 sdbcs 
mDiffFit 678 1536 18579 19182 463 sdbcs 
mDiffFit 167 1536 17114 17450 421 sdbcs 
mDiffFit 505 1536 19749 20104 470 sdbcs 
mDiffFit 53 1536 17678 18305 442 sdbcs 
mDiffFit 83 1536 17305 17664 491 sdbcs 
mDiffFit 407 1536 17357 17640 505 sdbcs 
mDiffFit 179 1536 19174 19602 456 sdbcs 
mDiffFit 535 1536 19701 20032 498 sdbcs 
mDiffFit 161 1536 18217 18552 477 sdbcs 
mDiffFit 437 1536 19415 20136 407 sdbcs 
mDiffFit 473 1536 18288 18640 470 sdbcs 
mDiffFit 781 1536 18277 18683 477 sdbcs 
mDiffFit 746 1536 19736 20032 455 sdbcs 
mDiffFit 708 1536 19434 19741 505 sdbcs 
mDiffFit 118 1536 19064 19390 477 sdbcs 
mDiffFit 765 1536 18199 18466 512 sdbcs 
mDiffFit 819 1536 20130 20414 491 sdbcs 
mDiffFit 739 1536 19141 19429 463 sdbcs 
mDiffFit 132 1536 18734 19321 491 sdbcs 
mDiffFit 176 1536 19019 19669 540 sdbcs 
mDiffFit 246 1536 19545 19825 477 sdbcs 
mDiffFit 734 1536 20098 20444 456 sdbcs 
mDiffFit 855 1536 19700 20303 449 sdbcs 
